,Promoter intensity,cluster
0,39.096667,5
1,197.44,8
2,824.73,2
3,106.65,0
4,568.853333,4
5,56.856667,5
6,796.356667,2
7,22.85,5
8,255.31,8
9,22.91,5
10,70.4,0
11,11.66,5
12,1489.03,6
13,45.273333,5
14,3419.686667,7
15,19.623333,5
16,554.746667,4
17,2245.08,1
18,54.193333,5
19,140.716667,0
20,85.74,0
21,61.716667,0
22,77.47,0
23,544.013333,4
24,286.346667,8
25,82.403333,0
26,2189.313333,1
27,16.856667,5
28,42.29,5
29,1004.693333,2
30,472.176667,4
31,11.91,5
32,84.476667,0
33,58.87,5
34,40.87,5
35,385.08,4
36,726.263333,2
37,37.106667,5
38,61.286667,0
39,22.836667,5
40,424.81,4
41,2.976667,5
42,110.636667,0
43,61.966667,0
44,53.436667,5
45,842.143333,2
46,79.816667,0
47,77.926667,0
48,228.493333,8
49,10.95,5
50,21.693333,5
51,611.87,4
52,237.913333,8
53,997.696667,2
54,8.51,5
55,18.7,5
56,40.213333,5
57,151.153333,0
58,68.473333,0
59,1901.71,1
60,304.993333,8
61,0.0,5
62,100.27,0
63,92.106667,0
64,244.28,8
65,872.196667,2
66,19.903333,5
67,31.893333,5
68,7.83,5
69,120.406667,0
70,526.44,4
71,58.9,5
72,415.31,4
73,0.833333,5
74,443.813333,4
75,247.69,8
76,69.733333,0
77,28.173333,5
78,9.863333,5
79,464.403333,4
80,161.58,0
81,28.723333,5
82,121.62,0
83,9.09,5
84,24.81,5
85,2.846667,5
86,23.646667,5
87,63.906667,0
88,73.446667,0
89,18.836667,5
90,26.973333,5
91,18.003333,5
92,602.433333,4
93,35.39,5
94,26.186667,5
95,228.103333,8
96,62.53,0
97,268.86,8
98,40.74,5
99,148.096667,0
100,207.883333,8
101,77.13,0
102,248.176667,8
103,51.15,5
104,136.72,0
105,83.176667,0
106,310.493333,8
107,608.796667,4
108,108.336667,0
109,51.346667,5
110,67.686667,0
111,53.136667,5
112,59.833333,5
113,100.026667,0
114,6.266667,5
115,39.136667,5
116,4144.78,3
117,32.723333,5
118,139.136667,0
119,13.0,5
120,113.233333,0
121,3.193333,5
122,17.25,5
123,99.616667,0
124,12.133333,5
125,661.313333,4
126,21.533333,5
127,92.51,0
128,32.586667,5
129,83.43,0
130,585.21,4
131,57.226667,5
132,17.903333,5
133,222.353333,8
134,5.04,5
135,12.413333,5
136,4.43,5
137,1.776667,5
138,61.67,0
139,185.19,8
140,39.633333,5
141,17.88,5
142,55.19,5
143,122.466667,0
144,15.226667,5
145,9.353333,5
146,107.173333,0
147,184.283333,8
148,9.31,5
149,407.743333,4
150,47.613333,5
151,536.093333,4
152,34.91,5
153,42.303333,5
154,5.546667,5
155,11.92,5
156,1248.403333,6
157,48.823333,5
158,33.736667,5
159,1.746667,5
160,5.696667,5
161,35.3,5
162,1.99,5
163,21.276667,5
164,9.303333,5
165,75.193333,0
166,8.953333,5
167,18.403333,5
168,19.316667,5
169,8.47,5
170,306.026667,8
171,33.516667,5
172,3.513333,5
173,3.633333,5
174,85.27,0
175,190.943333,8
176,9.113333,5
177,91.403333,0
178,196.07,8
179,56.846667,5
180,8.43,5
181,19.533333,5
182,237.163333,8
183,84.87,0
184,23.863333,5
185,42.543333,5
186,2.63,5
187,74.563333,0
188,16.63,5
189,190.293333,8
190,34.876667,5
191,30.926667,5
192,21.346667,5
193,102.426667,0
194,136.636667,0
195,16.186667,5
196,237.566667,8
197,47.606667,5
198,5.636667,5
199,3.97,5
200,30.01,5
201,22.073333,5
202,55.816667,5
203,76.556667,0
204,13.586667,5
205,9.343333,5
206,158.006667,0
207,1241.136667,6
208,18.1,5
209,90.51,0
210,310.186667,8
211,11.74,5
212,16.653333,5
